condition,channel,mean,variance,skewness,kurtosis,peak_to_peak,fft_mean,fft_std,fft_max,wavelet_energy,wavelet_entropy,delta_power,theta_power,slow_alpha_power,alpha_power,beta_power,gamma_power
EC,Cz,2.8074990841657493e-08,7.448623475891562e-11,0.004595970612681683,0.39379495034294987,9.336572695245389e-05,0.0006325131736086589,0.0020225049415622596,0.035685851259932046,4.4910158151823376e-06,,7.830728230717803e-12,4.059993859467568e-12,4.5636884624136915e-12,2.777026302467319e-12,7.761635909432066e-13,1.1775891675747435e-13
EC,C4,-1.5803868167585007e-08,6.362328990384383e-11,-0.13172008512856986,0.6359994039220549,8.283203304791572e-05,0.000576749100950937,0.0018716390705480657,0.028412864607680718,3.837228028723811e-06,,6.235327015675514e-12,3.5221737724063246e-12,4.366156971258093e-12,2.607294124636351e-12,6.291718520944644e-13,7.504383835151054e-14
EC,T8,-4.136714342699233e-08,5.289033853719159e-11,-0.11114992287386291,0.18976632063982324,6.510261523593413e-05,0.0005717375786622547,0.00169169120884884,0.035180864113829466,3.1895000575832108e-06,,5.454186971131454e-12,1.489554010015577e-12,1.4726906979547855e-12,1.484956367739556e-12,6.42563343477407e-13,2.217301125507652e-13
EC,CP3,4.9269358797466635e-08,6.714782414008034e-11,-0.1593169949126474,0.7066229074194821,8.163722437408212e-05,0.0005880639569514314,0.0019241798256229678,0.031000742104736783,4.0484190821032055e-06,,6.268280767311773e-12,3.708809866542422e-12,5.207137468507919e-12,3.317593929793225e-12,6.626549662462543e-13,7.620537826322529e-14
EC,CPz,1.659729421985857e-08,7.602407581714017e-11,-0.022750902312536587,0.40004243420766983,8.683468731230659e-05,0.0006223030024751088,0.0020484186679409215,0.03785356072626019,4.5836771254045105e-06,,8.124644327136792e-12,3.760679615741885e-12,4.678131371448105e-12,3.1233502856409723e-12,7.281259244507804e-13,9.668982143471271e-14
EC,CP4,-1.2465147265572485e-08,6.544274298235093e-11,-0.16658080098563952,0.8319330918483185,8.569430705807495e-05,0.0005742062293381678,0.0019014844779156222,0.029020092157035743,3.945642838367078e-06,,6.15755601210578e-12,3.6298277398915904e-12,5.0762725073708315e-12,3.118894503797035e-12,6.129519295508928e-13,6.870098178077916e-14
EC,P7,5.2667676199661754e-08,6.191982510735931e-11,-0.2811303167850649,0.5372299007745722,6.363755786561616e-05,0.0005804721440857462,0.0018428727073076928,0.03782250426940941,3.7333930280098203e-06,,5.861061362510656e-12,3.0694980022326027e-12,4.1602891424121e-12,2.5804040114749282e-12,6.231100436927868e-13,1.2912256820993268e-13
EC,P3,3.233738499780432e-08,7.827948540691017e-11,-0.23543112351836623,0.874033589401197,8.69206045532487e-05,0.0006151736491647386,0.00208347300453008,0.03671304335903873,4.719425030440083e-06,,7.1502498091215464e-12,4.096622032879871e-12,6.188179623532897e-12,3.926595604336751e-12,6.826043007558547e-13,7.516281664624037e-14
EC,Pz,1.0265034366688822e-08,7.529793560850404e-11,-0.10604281851206612,0.5598730340965057,7.960258776740223e-05,0.0006082419992841198,0.0020419438451715634,0.03975144267487262,4.539739396934159e-06,,8.017505120622554e-12,3.529403909510903e-12,4.91902747049875e-12,3.653484983243214e-12,6.680387551788185e-13,7.809940852333057e-14
EC,P4,1.8185830591711921e-10,7.171465732797774e-11,-0.15851432654629716,0.5192522070116432,8.197506822786188e-05,0.0005879543231681466,0.0019944350734464934,0.03625721812781089,4.323837595761969e-06,,7.469213364285486e-12,3.3487327995487883e-12,4.847465951289595e-12,3.321626912694e-12,5.687067663022885e-13,6.882329358461287e-14
EC,P8,1.303726774877215e-09,4.314282134712803e-11,-0.08428623343527121,0.6472941276110711,7.04410974203796e-05,0.000491704402834358,0.0015359616379511693,0.0238441984980688,2.6015806790179466e-06,,3.806273980651527e-12,2.0660569004873673e-12,3.038170460295486e-12,2.2767458825489896e-12,3.994022751793265e-13,8.331562259645732e-14
EC,O1,1.6564819185870691e-09,6.364696537239388e-11,-0.25703344995412103,0.8951486410905898,7.879440179922953e-05,0.0005777278158660881,0.0018717145449035648,0.02757323807107858,3.838277763947052e-06,,6.362504521384677e-12,2.805101216932163e-12,3.876847496294408e-12,3.561800248078571e-12,5.667663072483952e-13,8.52524703917402e-14
EC,Oz,-1.1915073807355219e-08,6.821528698288025e-11,-0.10796612991918147,0.4087235153574693,7.776477931991884e-05,0.0005848976414282651,0.0019417513523293044,0.039637785205654634,4.112864012997687e-06,,7.141586000115535e-12,2.5469977105728665e-12,3.3150331231749258e-12,3.887186048988863e-12,5.285575003020971e-13,8.422963478870754e-14
EC,O2,-7.505404407654688e-09,5.6077890462468336e-11,-0.0322438246931314,0.39838739763150643,7.374772562545321e-05,0.000539082895612803,0.0017578853233363339,0.037594692938887474,3.380887749552409e-06,,5.802803359168436e-12,2.10461037594565e-12,2.70299314332356e-12,3.0643644845374085e-12,4.4893094592468573e-13,8.490897060270696e-14
EC,Erbs,-3.7624865355823574e-08,5.619132184245592e-10,-2.4852879338222547,8.33227960254355,0.00024831310207778937,0.0017036931374514932,0.005565391022801328,0.11852641189854259,3.387651296194821e-05,,2.7657624322257708e-11,5.539830458642446e-11,3.8183554164005805e-11,2.1417836436806387e-11,8.8453336298345e-12,5.36812970805543e-13
EC,OrbOcc,-3.508953429675997e-08,7.727842279753809e-11,-0.035415332253041346,2.1706622615392286,9.731041749675852e-05,0.0006181810857308221,0.0020680451277331727,0.045534640543040704,4.6729948818612855e-06,,1.2295141433776297e-11,2.245236877310757e-12,2.385496427231873e-12,1.5529082503107526e-12,5.906562660817404e-13,1.8421147485209628e-13
EC,Mass,-2.9905682243833576e-08,4.349436948822328e-11,-0.11379607810732252,1.8663515613370052,7.55302092155998e-05,0.00047282547679637063,0.0015487527367197874,0.04008788486569431,2.623458138143984e-06,,8.079094803777046e-12,1.248857880724058e-12,9.73236915535197e-13,7.662075314219138e-13,3.654807071118669e-13,1.3498244649741822e-13
EC,F3_F4_alpha_asymmetry,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13,1.384985935660287e-13
